分类,中文,English,日本語
种族（部分出现在终末地中）,卡普里尼,Caprinae,カプリーニ
种族（部分出现在终末地中）,阿戈尔,Aegir,イージル
种族（部分出现在终末地中）,阿纳缇,Anur,アヌル
种族（部分出现在终末地中）,德拉克,Draco,ドラコ
种族（部分出现在终末地中）,人类,Human,人間
职业 / 战斗类型,先锋,Vanguard,ヴァンガード | 先鋒
职业 / 战斗类型,突袭,Striker,ストライカー | 突撃
职业 / 战斗类型,近卫,Guard,ガーディアン | 近衛
职业 / 战斗类型,重装,Defender,ディフェンダー | 重装
职业 / 战斗类型,术师,Caster,キャスター | 術師
职业 / 战斗类型,辅助,Supporter,サポーター | 補助
职业 / 战斗类型,远程,Ranged,遠距離
职业 / 战斗类型,治疗,Medic | Healer,メディック | 治療
职业 / 战斗类型,干员,Operator,オペレーター
元素 / 元素反应（Arts System）,物理,Physical,物理
元素 / 元素反应（Arts System）,炎热,Heat,炎熱
元素 / 元素反应（Arts System）,寒冷,Cryo,冷厳
元素 / 元素反应（Arts System）,电,Electric,電気
元素 / 元素反应（Arts System）,自然,Nature,自然
元素 / 元素反应（Arts System）,元素附着,Arts Infliction,アーツインフリクション
元素 / 元素反应（Arts System）,元素爆发,Arts Burst,アーツバースト
元素 / 元素反应（Arts System）,元素反应,Arts Reaction,アーツリアクション
元素 / 元素反应（Arts System）,燃烧,Combustion,コンバッション
元素 / 元素反应（Arts System）,电磁异常,Electrification,エレクトリフィケーション
元素 / 元素反应（Arts System）,凝固,Solidification,ソリディフィケーション
元素 / 元素反应（Arts System）,腐蚀,Corrosion,コロージョン
元素 / 元素反应（Arts System）,粉碎,Shatter,シャッター
元素 / 元素反应（Arts System）,脆弱,Vulnerable,バルネラブル
元素 / 元素反应（Arts System）,撕裂,Breach,ブリーチ
元素 / 元素反应（Arts System）,击飞,Lift,リフト
元素 / 元素反应（Arts System）,击倒,Knock Down,ノックダウン
元素 / 元素反应（Arts System）,碾碎,Crush,クラッシュ
元素 / 元素反应（Arts System）,失衡值,Stagger,スタッガー
元素 / 元素反应（Arts System）,失衡状态,Staggered,スタッガー状態
元素 / 元素反应（Arts System）,失衡节点,Stagger Node,スタッガーノード
元素 / 元素反应（Arts System）,处决,Finisher,フィニッシャー
元素 / 元素反应（Arts System）,重击,Heavy Strike,ヘビーストライク
元素 / 元素反应（Arts System）,落击,Plunging Attack,プラウンジングアタック
元素 / 元素反应（Arts System）,完美闪避,Perfect Dodge,パーフェクトドッジ
元素 / 元素反应（Arts System）,干员属性：力量,Strength,力 | STR
元素 / 元素反应（Arts System）,干员属性：敏捷,Agility,敏捷 | AGL
元素 / 元素反应（Arts System）,干员属性： intellect,Intellect,知性 | INT
元素 / 元素反应（Arts System）,干员属性：意志,Will,意志 | WIL
元素 / 元素反应（Arts System）,战技,Battle Skill,バトルスキル
元素 / 元素反应（Arts System）,连携技,Combo Skill,コンボスキル
元素 / 元素反应（Arts System）,终结技,Ultimate Skill,アルティメットスキル
元素 / 元素反应（Arts System）,主动技,Active Skill,アクティブスキル
元素 / 元素反应（Arts System）,技力,Skill Points | SP,スキルポイント | SP
武器类型,剑,Sword,剣
武器类型,双手剑,Greatsword,両手剣
武器类型,长柄,Polearm,槍 | 長柄武器
武器类型,手铳,Handcannon,拳銃 | ハンドキャノン
武器类型,法器,Arts Unit,アーツユニット
武器类型,装备,Gear,ギア
武器类型,武器,Weapon,武器
武器类型,护甲,Armor,鎧
武器类型,护手,Gloves,籠手
武器类型,配件,Accessory,アクセサリー
装备品质 / 等级,普通,Common | 绿,コモン
装备品质 / 等级,高级,Uncommon | 蓝,アンコモン
装备品质 / 等级,稀有,Rare | 紫,レア
装备品质 / 等级,史诗,Epic,エピック
装备品质 / 等级,传说,Legendary | 金,レジェンダリー
装备品质 / 等级,改,Refined | Modified,改
装备品质 / 等级,专属武器,Signature Weapon,シグネチャーウェポン
装备品质 / 等级,基质,Matrix,マトリクス
装备品质 / 等级,无瑕基质,Flawless Matrix,完璧マトリクス
装备品质 / 等级,精锻,Reforge,精鍛
武器名（部分 6 星 / 5 星）,无双之名,Eminent Repute,
武器名（部分 6 星 / 5 星）,锻造之伤,Forgeborn Scathe,
武器名（部分 6 星 / 5 星）,宏愿,Grand Vision,
武器名（部分 6 星 / 5 星）,永无止息,Never Rest,
武器名（部分 6 星 / 5 星）,飞速,Rapid Ascent,
武器名（部分 6 星 / 5 星）,烈性切割者,Thermite Cutter,
武器名（部分 6 星 / 5 星）,暗影火炬,Umbral Torch,
武器名（部分 6 星 / 5 星）,O.B.J. 轻芒,O.B.J. Lightspark,O.B.J.ライトスパーク
武器名（部分 6 星 / 5 星）,长枪「奥佩罗 77」,Opero-77,オペロ-77
敌人 / 生态 / 灾害,天使,Aggeloi,アンゲロス
敌人 / 生态 / 灾害,锚点,Anchor,アンカー
敌人 / 生态 / 灾害,蚀影,Umbral Shade | Corroded Remnant,蝕影 | 蚀影エロージョン?シャドウ
敌人 / 生态 / 灾害,蚀影牙兽,Shade Feral Hound,蝕影牙獣
敌人 / 生态 / 灾害,蚀影应龙前锋,Shade Yinglong Vanguard,蝕影応龍先鋒
敌人 / 生态 / 灾害,蚀影应龙尖兵,Shade Yinglong Sharpshooter,蝕影応龍尖兵
敌人 / 生态 / 灾害,蚀影棘球刺兽,Shade Spiny Orb Beast,蝕影棘球刺獣
敌人 / 生态 / 灾害,蚀影球刺兽,Shade Spherical Beast,蝕影球刺獣
敌人 / 生态 / 灾害,蚀影彪兽,Shade Dire Beast,蝕影彪獣
敌人 / 生态 / 灾害,蚀影应龙破阵手,Shade Yinglong Breaker,蝕影応龍破陣手
敌人 / 生态 / 灾害,蚀影应龙队长,Shade Yinglong Captain,蝕影応龍隊長
敌人 / 生态 / 灾害,蚀影噪雷,Shade Thunderhowl,蝕影噪雷
敌人 / 生态 / 灾害,白色蚀影,White Shade,ホワイトシェード
敌人 / 生态 / 灾害,星体,Astrolabe | Trinity,星体 | 三位一体
敌人 / 生态 / 灾害,白垩界卫,Chalk Warden,白亜界衛
敌人 / 生态 / 灾害,水花子,Water Wisp,水花子
敌人 / 生态 / 灾害,山犼兽,Mountain Guardian Beast,山犼獣
敌人 / 生态 / 灾害,披甲裂兽,Armored Rift Beast,披甲裂獣
敌人 / 生态 / 灾害,联盟工团安全巡逻,U.W.S.T. Security Patrol,
敌人 / 生态 / 灾害,故障机器人,Malfunctioning Robot | Delta Unit,故障ロボット | デルタ型
敌人 / 生态 / 灾害,胆小源石虫,Shy Originium Slug,臆病オリニウムムシ
敌人 / 生态 / 灾害,瘤兽,Tumor Beast,瘤獣
敌人 / 生态 / 灾害,咆兽,Rattle Beast,咆獣
敌人 / 生态 / 灾害,小咆兽,Mini Rattle Beast,小咆獣
系统 / 玩法 / 核心机制,集成工业系统,Automated Industrial Complex | AIC,集成工業システム | AIC
系统 / 玩法 / 核心机制,嵌造体,AIC | 代号,エンブリオ | AIC
系统 / 玩法 / 核心机制,自动化生产,Automated Production,自動化生産
系统 / 玩法 / 核心机制,装配站,Assembly Station,組立ステーション
系统 / 玩法 / 核心机制,培养舱,Cultivation Chamber,培養チャンバー
系统 / 玩法 / 核心机制,加工舱,Manufacturing Cabin,加工キャビン
系统 / 玩法 / 核心机制,仓库,Storage,倉庫
系统 / 玩法 / 核心机制,物流,Logistics | Conveyor,物流 | コンベア
系统 / 玩法 / 核心机制,地区发展,Regional Development,地域発展
系统 / 玩法 / 核心机制,调度券,Dispatch Voucher,调度券 | ディスパッチ券
系统 / 玩法 / 核心机制,谷地刻写券,Valley Inscription Voucher,谷地刻写券
系统 / 玩法 / 核心机制,区域基地,Outpost,アウトポスト
系统 / 玩法 / 核心机制,供能系统,Power System,エネルギー供給
系统 / 玩法 / 核心机制,中继器,Relay,中継器
系统 / 玩法 / 核心机制,供电桩,Power Pylon,給電杭
系统 / 玩法 / 核心机制,资源回收站,Resource Recycling Station,資源回収所
系统 / 玩法 / 核心机制,猫头鹰,Owl Cache,オウルキャッシュ
系统 / 玩法 / 核心机制,萝卜,Carrot Cache,ニンジンキャッシュ
系统 / 玩法 / 核心机制,醚质,Aether,Ａ剤 | エーテル
系统 / 玩法 / 核心机制,醚质结晶,Aether Crystal,エーテル結晶
系统 / 玩法 / 核心机制,能量淤积点,Energy Accumulation Point,エネルギー堆積点
系统 / 玩法 / 核心机制,重度能量淤积点,High-Density Energy Point,重度エネルギー堆積点
系统 / 玩法 / 核心机制,末制源石,Protocol Core,プロトコルコア
系统 / 玩法 / 核心机制,源石树苗,Originium Sapling,オリニウム苗木
系统 / 玩法 / 核心机制,调查点,Investigation Point,調査ポイント
系统 / 玩法 / 核心机制,采录桩,Recording Post,採録ポスト
系统 / 玩法 / 核心机制,战术物品,Tactical Item,戦術アイテム
系统 / 玩法 / 核心机制,简制系统,Crafting System,簡易制作
系统 / 玩法 / 核心机制,战术轴承,Tactical Bearing,戦術ベアリング
系统 / 玩法 / 核心机制,冷却单元,Cooling Unit,冷却ユニット
系统 / 玩法 / 核心机制,协议传送点,Protocol Teleport Point,プロトコル転送点
系统 / 玩法 / 核心机制,滑动,Zipline,ジップライン
系统 / 玩法 / 核心机制,头猎,Headhunting,ヘッドハント
系统 / 玩法 / 核心机制,基础头猎,Basic Headhunting,ベーシックヘッドハント
系统 / 玩法 / 核心机制,新手头猎,New Horizons Headhunting,ニューホライズンヘッドハント
系统 / 玩法 / 核心机制,特许寻访,Special Headhunting,特別ヘッドハント
系统 / 玩法 / 核心机制,寻访说明,Headhunting Notice,ヘッドハント告知
系统 / 玩法 / 核心机制,雇佣契约,Employment Contract,雇用契約
系统 / 玩法 / 核心机制,信赖,Trust | Bond,信頼 | 絆
系统 / 玩法 / 核心机制,信赖等级,Trust Level,信頼レベル
系统 / 玩法 / 核心机制,潜能,Potential,ポテンシャル
系统 / 玩法 / 核心机制,精英化,Elite Promotion,エリート昇格
系统 / 玩法 / 核心机制,精 ,Elite /2/3/4,エリート/2/3/4
系统 / 玩法 / 核心机制,突破,Breakthrough,突破
系统 / 玩法 / 核心机制,培养,Training,育成
系统 / 玩法 / 核心机制,天赋,Talent,才能 | タレント
系统 / 玩法 / 核心机制,战斗天赋,Combat Talent,戦闘タレント
系统 / 玩法 / 核心机制,基建天赋,Base Talent,基地タレント
系统 / 玩法 / 核心机制,干员档案,Operator Profile,オペレータープロフィール
系统 / 玩法 / 核心机制,履历,Resume | Record,履歴
系统 / 玩法 / 核心机制,干员叙事,Operator Story,オペレーター叙事
系统 / 玩法 / 核心机制,主线任务,Main Mission,メインミッション
系统 / 玩法 / 核心机制,支线任务,Side Mission,サブミッション
系统 / 玩法 / 核心机制,调查任务,Investigation Mission,調査任務
系统 / 玩法 / 核心机制,日常任务,Daily Mission,デイリー任務
系统 / 玩法 / 核心机制,活动任务,Event Mission,イベント任務
系统 / 玩法 / 核心机制,限时任务,Limited Mission,期間限定任務
系统 / 玩法 / 核心机制,成就,Achievement,実績
系统 / 玩法 / 核心机制,危机合约,Contingency Contract,コンティンジェンシー契約
系统 / 玩法 / 核心机制,选剑演武,Sword-Selection Tournament,選剣演武
系统 / 玩法 / 核心机制,区域事件,Regional Event,地域イベント
系统 / 玩法 / 核心机制,蚀刻章,Etched Emblem,蝕刻章
系统 / 玩法 / 核心机制,行迹,Trail,軌跡 | 行跡
系统 / 玩法 / 核心机制,储物舱,Storage Bay,ストレージベイ
系统 / 玩法 / 核心机制,加工舱工艺,Manufacturing Process,加工プロセス
系统 / 玩法 / 核心机制,仓库线,Storage Line,倉庫ライン
系统 / 玩法 / 核心机制,大信标,Major Beacon,大ビーコン
系统 / 玩法 / 核心机制,弹性需求,Elastic Demand,弾力的需要
系统 / 玩法 / 核心机制,紫药,Purple Med | Purple Battery,紫薬 | 紫電池
系统 / 玩法 / 核心机制,试作园,Prototype Garden,試作園
系统 / 玩法 / 核心机制,集成式移动地块生产坞,Integrated Mobile Block Production Dock,統合可動産区生産ドック
系统 / 玩法 / 核心机制,赠送,Supply Support,支援供給
系统 / 玩法 / 核心机制,寻宝,Investigation | Survey Point,調査 | 測量ポイント
系统 / 玩法 / 核心机制,任务编队,Mission Squad,任務編隊
系统 / 玩法 / 核心机制,关卡,Stage,ステージ
系统 / 玩法 / 核心机制,联机,Co-op,マルチプレイ
系统 / 玩法 / 核心机制,好友飞船,Friend's OMV,フレンドの艦
系统 / 玩法 / 核心机制,信用交易所,Credit Exchange,信用交易所
货币 / 物品,折金票,Folded Gold Voucher,折金票 | おうきんぴょう
货币 / 物品,衍质源石,Derivative Originium,衍質源石
货币 / 物品,嵌晶玉,Embedded Jade,嵌晶玉
货币 / 物品,头猎凭证,Basic HH Permits,ベーシックヘッドハント許可証
货币 / 物品,特许头猎凭证,Chartered HH Permits,特別ヘッドハント許可証
货币 / 物品,培养素材,Training Material,育成素材
货币 / 物品,突破材料,Promotion Material,突破素材
货币 / 物品,武器素材,Weapon Material,武器素材
货币 / 物品,通用无瑕基质,Universal Flawless Matrix,汎用無瑕マトリクス
货币 / 物品,专属无瑕基质,Signature Flawless Matrix,専属無瑕マトリクス
货币 / 物品,矿石,Originium Ore,源鉱
货币 / 物品,蓝铁矿,Blue Iron Ore,青鉄鉱
货币 / 物品,紫晶矿,Amethyst Ore,紫晶鉱
货币 / 物品,石墨矿脉,Graphite Vein,石墨鉱脈
货币 / 物品,钛合金碎片,Titanium Alloy Shard,チタン合金片
货币 / 物品,原木,Log,原木
货币 / 物品,荞花,Buckwheat Flower,蕎麦の花
货币 / 物品,砂叶,Sandleaf,砂葉
货币 / 物品,紫晶质瓶,Amethyst Bottle,紫晶質瓶
货币 / 物品,蓝色素材,Blue Material | 战术轴承/冷却单元等,ブルー素材
版本 / 章节 / 活动,核心章节,Core Chapter,コアチャプター
版本 / 章节 / 活动,「向渊行」,To the Abyss,淵へ向かう
版本 / 章节 / 活动,「武陵决战篇」,Wuling Decisive Battle,武陵決戦篇
版本 / 章节 / 活动,「寻遗散记」,Seeking the Lost,遺失探索記
版本 / 章节 / 活动,「晨星于此闪耀」,Stars Shine at Dawn,暁星ここに輝く
版本 / 章节 / 活动,半周年,Half Anniversary,半年アニバーサリー
版本 / 章节 / 活动,公测,Global Launch,グローバルリリース
